row/col,DL,DL,AM,AF,AZ,MU,G3,KL,KE,QJ,VS,VA,UX,KQ,ME,SV,RO,SU,AR,CI,CZ,CQ,GA,VN,MF,HA,WS,XK,MK,SB,CE,CM,JL,QJ,MH,DT,HV,T7,PS,JU,EY,NH,AC,PG,CX,KA,PC,HX,JQ,QF,SA,NZ,AA,AS,EK,TP,OS,QR,SQ,MI,HU,BA,AY,IB,JJ,LA,RJ,S7,UL,GF,EI,IG,JL,O6,NT,I9,AT,TA,4O,TBD,FI,DC,DE,KS,7H,B6,HM,OZ,SN,SK,PR,PR,WY,UA
SU,F:1.5;P:1.5;A:1.25;G:1;C:1.75;J:1.75;D:1.5;I:1.5;Z:1.25;W:1;B:.75;H:.75;M:.75;S:.75;Y:.75;K:.5;L:.5;Q:.5;T:.5;U:.5;V:.25;X:.25;,,J:2;C:1.5;D:1.5;B:1.5;M:1.5;U:1.5;Y:1.5;E:1;H:1;K:1;L:1;Q:1;T:1;N:.75;R:.75;V:.75;W:.75;,F:3;P:3;C:1.5;D:1.5;I:1.5;J:1.5;Z:1.25;S:1.25;W:1.25;A:1;B:1;Y:1;M:.75;U:.75;H:.5;K:.5;L:.5;Q:.5;E:.25;G:.25;N:.25;R:.25;T:.25;V:.25;,C:1.5;D:1.5;J:1.5;E:1.25;I:1.25;A:1.1;P:1.1;B:1;Y:1;H:.5;K:.5;M:.5;V:.5;L:.25;N:.25;Q:.25;S:.25;T:.25;W:.25;X:.25;,F:1.5;P:1.5;U:1.5;P4:1;C:1.3;D:1.3;I:1.3;J:1.3;Q:1.3;W:1.1;B:1;E:1;H:1;M:1;Y:1;K:.5;L:.5;N:.5;R:.5;S:.5;V:.5;T:.3;,,C:1.5;D:1.5;I:1.5;J:1.5;Z:1.25;B:1;Y:1;F:.75;M:.75;P:.75;U:.75;W:.75;A:.5;H:.5;K:.5;L:.5;Q:.5;S:.5;E:.25;G:.25;N:.25;R:.25;T:.25;V:.25;,R:2;F:1.5;P:1.5;C:1.25;D:1.25;I:1.25;J:1.25;Z:1;B:1;E:1;H:1;K:1;M:1;W:1;Y:1;,,,,C:1.5;D:1.5;J:1.5;I:1;B:1;E:1;H:1;K:1;L:1;M:1;V:1;Y:1;Q:.5;R:.5;S:.5;T:.5;U:.5;A:.25;N:.25;P:.25;,C:1.25;I:1.25;J:1.25;Z:1.25;B:1;E:1;H:1;K:1;L:1;M:1;N:1;Q:1;R:1;S:1;T:1;U:1;Y:1;,C:1.5;D:1.5;J:1.5;I:1;Z:1;B:1;Y:1;H:.75;K:.75;L:.75;M:.75;U:.75;N:.5;Q:.5;T:.5;,A:2;F:2;P:2;C:1.5;D:1.5;I:1.5;J:1.5;Y:1;B:.75;E:.75;H:.75;K:.75;M:.75;Q:.75;T:.75;G:.5;L:.5;N:.5;U:.5;V:.5;,C:2;D:2;I:2;J:2;Y:1.5;B:1;M:1;G:.75;H:.75;K:.75;R:.75;U:.75;E:.5;L:.5;N:.5;Q:.5;S:.5;T:.5;V:.5;,CF:2.5;DF:2.5;JF:2.5;IF:2;ZF:2;CC:2;DC:2;JC:2;IC:1.5;ZC:1.5;AF:2;SF:2;WF:2;AC:1.5;SC:1.5;WC:1.5;BF:2;HF:2;KF:2;LF:2;MF:2;UF:2;YF:2;EF:1.5;NF:1.5;QF:1.5;TF:1.5;BC:1.5;HC:1.5;KC:1.5;LC:1.5;MC:1.5;UC:1.5;YC:1.5;EC:1;NC:1;QC:1;TC:1;BV:1.25;HV:1.25;KV:1.25;LV:1.25;MV:1.25;UV:1.25;YV:1.25;EV:.7;NV:.7;QV:.7;TV:.7;PS:.2;RS:.2;,C:1.5;D:1.5;I:1.5;J:1.5;S:1.5;W:1.5;B:1;H:1;K:1;L:1;M:1;Q:1;U:1;Y:1;A:.5;E:.5;G:.5;N:.5;R:.5;T:.5;V:.5;,F:1.5;J:1.3;C:1.25;D:1.15;U:1.15;W:1.15;E:1;B:1;M:1;Y:1;K:.8;T:.8;V:.8;H:.5;N:.5;Q:.5;R:.5;,F:1.5;P:1.5;C:1.3;D:1.3;J:1.3;I:1;W:1.1;S:.5;B:1;H:1;M:1;Y:1;A:.4;E:.4;K:.4;L:.4;Q:.4;U:.4;V:.4;,C:2;J:2;D:1.5;B:1;H:1;K:1;M:1;T:1;Y:1;A:.5;G:.5;L:.5;Q:.5;U:.5;X:.5;,A:1.5;F:1.5;P:1.3;C:1.25;D:1.25;I:1.25;J:1.25;W:1;B:1;Y:1;K:.5;M:.5;N:.5;Q:.25;T:.25;,C:2;J:2;D:1.5;W:1;Z:1;M:1;Y:1;B:.75;H:.75;K:.75;L:.75;S:.75;Q:.5;,A:2;F:2;C:1.5;D:1.5;I:1.5;J:1.5;B:1;H:1;L:1;M:1;Y:1;K:.5;N:.5;Q:.5;V:.5;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,F:1.5;P:1.5;A:1.25;G:1;J:1.25;C:1.25;D:1.25;I:1.25;Z:1;W:1;Y:1;B:1;M:.75;S:.5;H:.5;Q:.5;K:.5;L:.25;U:.25;T:.25;X:.25;V:.25;,,J:2;C:2;D:1.5;I:1.5;Y:1;B:1;M:1;U:1;K:1;H:1;L:1;Q:1;T:1;E:1;N:.5;R:.5;V:.5;Wÿ:.5;,P:3;F:3;J:1.25;C:1.25;D:1.25;I:1.25;Z:1.25;W:1.25;S:1.25;A:1.25;Full:1;::1;Y:1;B:1;M:1;U:.75;K:.75;H:.5;L:.5;Q:.5;T:.2;E:.2;N:.2;G:.2;R:.2;E:.2;V:.2;,J:1.5;C:1.5;D:1.5;I:1.5;E:1.5;P:1.25;A:1.25;Y:1;B:1;M:1;H:1;K:1;V:1;T:1;N:.5;S:.5;Q:.5;X:.5;,F:1.5;U:1.5;P:1.5;J:1.3;C:1.3;D:1.3;I:1.3;W:1.1;Y:1;B:1;M:1;E:1;H:1;K:.5;L:.5;N:.5;R:.5;S:.5;V:.5;T:.5;T:.3;,C:1.25;D:1.25;Y:1;S:1;K:1;M:1;H:1;Q:1;L:1;V:1;T:1;J:1;W:1;F:1;B:1;P:.5;E:.5;U:.5;N:.5;A:.5;,J:1.25;C:1.25;D:1.25;I:1.25;Z:1.25;Y:1;B:1;M:1;U:.75;K:.75;W:.75;P:.75;F:.75;H:.5;L:.5;Q:.5;S:.5;A:.5;T:.2;E:.2;N:.2;G:.2;R:.2;V:.2;,R:2;P:1.65;F:1.5;J:1.35;C:1.25;D:1.25;I:1.25;Z:1;Y:1;B:1;M:1;S:1;H:1;E:1;K:.5;L:.5;U:.5;Q:.5;,,,,J:1.25;C:1.25;D:1.25;I:1;Y:1;B:1;M:1;ÿL:.75;E:.75;K:.75;V:.75;H:.75;S:.5;R:.5;ÿÿU:.25;T:.25;Q:.25;,J:1.5;C:1.5;D:1.5;I:1.5;Z:1.5;Y:1;B:1;M:1;U:1;K:1;H:1;L:1;Q:1;E:1;N:1;R:1;T:1;V:.5;G:.5;,J:1.25;C:1.25;D:1.25;I:1.25;Z:1.25;Y:1;B:1;M:1;U:1;K:1;H:1;L:1;Q:1;T:.5;N:.5;R:.5;V:.5;,F:2;P:2;A:2;J:1.5;C:1.5;D:1.5;I:1.5;Y:1;E:.75;B:.75;M:.75;K:.75;H:.75;Q:.75;T:.5;L:.5;N:.5;V:.5;G:.5;U:.5;,J:1.5;C:1.5;D:1.5;I:1.5;Y:1.25;B:1;M:1;U:1;K:.5;G:.5;H:.5;N:.5;L:.5;Q:.5;R:.5;T:.5;V:.5;E:.5;S:.5;,J:1.5;C:1.5;D:1.5;I:1;Z:1;W:1;S:1;A:1;Y:1;B:1;M:1;U:1;K:1;H:.5;L:.5;Q:.5;T:.5;E:.5;N:.5;,A:.25;E:.25;G:.25;N:.25;R:.25;T:.25;V:.25;H:1;K:1;L:1;Q:1;U:1;B:1.25;M:1.25;Y:1.25;C:1.5;D:1.5;I:1.5;J:1.5;S:1.5;W:1.5;,F:1.5;J:1.3;C:1.25;D:1.15;W:1.15;U:1.15;E:1;Y:1;B:1;M:1;K:.8;V:.8;T:.8;R:.5;Q:.5;H:.5;N:.5;,F:1.5;P:1.5;W:1.1;J:1.3;C:1.3;D:1.3;Y:1;B:1;M:1;H:1;K:1;I:1;U:.4;L:.4;E:.4;Q:.4;S:.4;,J:1.5;C:1.5;D:1.5;Y:1;M:1;B:1;H:1;K:1;T:1;A:.5;L:.5;X:.5;Q:.5;U:.5;,F:1.75;A:1.75;J:1.5;C:1.5;D:1.5;I:1.5;Y:1;B:1;M:.75;K:.75;N:.75;Q:.25;T:.25;,J:1.25;C:1.25;D:1;W:1;Z:1;Y:1;B:.75;M:.75;S:.75;H:.5;K:.5;L:.5;Q:.5;,P:1.5;F:1.5;A:1.5;J:1.3;C:1.3;D:1.3;I:1;Y:1;B:1;M:1;L:1;H:1;K:.5;N:.5;Q:.5;V:.5;,,,,,,,,,,,,,,,,,,,,,,,,,,,C:1.25;D:1.25;J:1.25;Z:1.25;A:1;E:1;O:1;U:1;Y:1;B:1;H:1;M:1;Q:1;T:.5;V:.5;W:.5;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM,F:2;P:1.75;A:1.75;G:1.5;J:2;C:1.5;D:1.5;I:1.5;Z:1.25;W:1.5;Y:1.25;B:1.25;M:1.25;S:1;H:1;Q:1;K:1;L:1;U:.5;T:.5;X:.5;V:.25;E:.25;,,C:2;J:2;I:1.5;D:1.5;M:1.25;B:1.25;Y:1.25;T:1;Q:1;L:1;H:1;K:1;U:1;E:1;A:.5;W:.5;V:.5;R:.5;N:.5;,P:1.5;F:1.5;J:1.25;C:1.25;D:1.25;I:1.25;Z:1.25;W:1.25;S:1.25;A:1;Y:1;B:1;M:.75;U:.75;K:.5;H:.5;L:.5;Q:.5;T:.2;E:.2;N:.2;G:.2;R:.2;V:.2;,J:2;C:2;D:2;I:2;E:2;P:1.5;A:1.5;Y:2;B:2;M:2;H:2;K:2;V:2;T:2;N:.5;S:.5;Q:.5;X:.5;,F:1.5;p:1.5;J:1.3;C:1.3;D:1.3;I:1.3;W:1.1;Y:1;B:1;M:1;E:1;H:1;K:.5;L:.5;N:.5;R:.5;S:.5;V:.5;T:.5;,,J:1.25;C:1.25;D:1.25;I:1.25;Z:1.25;Y:1;B:1;M:.75;U:.75;W:.75;P:.75;F:.75;K:.5;Q:.5;H:.5;L:.5;S:.5;A:.5;T:.2;E:.2;N:.2;G:.2;R:.2;V:.2;,P:2;F:1.65;J:1.35;C:1.25;D:1.25;I:1.25;R:1.25;Z:1;W:1;Y:1;B:1;M:1;S:1;H:1;E:1;K:1;L:1;U:1;,,,,J:1.5;C:1.5;D:1.25;I:1.25;Y:1;B:1;M:1;L:.5;E:.5;K:.5;V:.5;H:.5;S:.5;R:.25;U:.25;T:.25;Q:.25;P:.25;,C:1.25;I:1.25;J:1.25;Z:1.25;E:1;H:1;K:1;L:1;M:1;N:1;Q:1;R:1;S:1;T:1;U:1;Y:1;B:1;,,F:2.5;P:2.5;A:2;R:2;J:1.75;C:1.5;D:1.5;I:1.5;Y:1;W:1;O:1;B:.75;M:.75;K:.75;H:.75;T:.75;Q:.5;L:.5;X:.5;V:.5;G:.5;,J:1.5;C:1.5;D:1.5;I:1.5;Y:1.25;B:1;M:1;U:1;K:.5;R:.5;H:.5;G:.5;L:.5;Q:.5;N:.5;T:.5;V:.5;S:.5;E:.5;,J:1.5;C:1.5;D:1.5;I:1.25;Z:1.25;W:1.25;S:1.25;A:1.25;Y:1.25;B:1.25;M:1;U:1;K:1;H:1;L:1;Q:.75;T:.75;E:.75;N:.75;,J:1.2;C:1.2;D:1.2;I:1.2;W:1.2;S:1.2;Y:1;B:1;M:1;U:1;K:1;H:1;L:1;Q:1;T:.5;E:.5;N:.5;V:.5;A:.5;R:.5;G:.5;,F:1.5;J:1.3;C:1.25;D:1.15;W:1.15;U:1.15;E:1;Y:1;B:1;M:1;K:.8;V:.8;T:.8;R:.5;Q:.5;H:.5;N:.5;,F:1.5;J:1.3;C:1.3;D:1.3;I:1;W:1.1;Y:1;B:1;M:1;H:1;K:1;P:1;U:.4;L:.4;Q:.4;E:.4;S:.4;A:.4;,J:1.5;D:1.5;C:1.5;Y:1;M:1;B:1;H:1;K:1;T:1;G:.5;L:.5;X:.5;Q:.5;U:.5;A:.5;,F:1.5;A:1.5;J:1.25;C:1.25;D:1.25;I:1.25;W:1;Y:1;B:1;M:.5;K:.5;N:.5;,J:1.25;C:1.25;D:1;W:1;Z:1;Y:1;B:1;M:1;S:.75;H:.75;K:.75;L:.75;Q:.75;,P:1.5;F:1.5;A:1.5;J:1.3;C:1.3;D:1.3;I:1;H:1;Y:1;B:1;M:1;L:1;K:.5;N:.5;Q:.5;V:.5;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AF,C:1.75;J:1.75;D:1.5;I:1.5;Z:1.25;P:2;A:1.75;G:1.25;W:1.25;Y:1;B:1;M:1;Q:.5;K:.5;L:.5;U:.25;T:.25;X:.25;V:.25;E:.25,,J:1.75;C:1.75;D:1.25;I:1.25;Y:1;B:1;M:1;W:.25;U:.5;H:.5;K:.5;L:.5;Q:.5;T:.5;E:.25;V:.25;N:.25;R:.25;,[4],J:2;C:2;D:2;I:2;E:2;A:1.5;P:1.5;Y:1;B:1;M:1;H:1;K:.5;V:.5;T:.5;N:.5;S:.5;Q:.5;X:.5;W:.25;O:.25;L:.25;G:.25;F:.25,F:1.5;U:1.5;P:1.25;J:1.25;C:1.25;D:1.25;I:1.25;Q:1.25;W:1.1;Y:1;B:1;E:.75;H:.75;M:.75;L:.5;N:.5;R:.5;S:.5;V:.5;K:.5;T:.3,C:1.25;D:1.25;Y:1;S:1;K:1;H:1;M:1;Q:1;L:1;V:1;F:1;B:1;T:.75;J:.75;W:.75;E:.5;P:.5;U:.5;A:.5;N:.5,[4],P:1.75;F:1.5;J:1.25;C:1.25;D:1.25;I:1.25;R:1.25;Z:1;Y:1;B:1;W:1;M:.75;H:.5;E:.5;S:.5;U:.2;K:.2;Q:.2;T:.2;N:.2;L:.2;,,,,J:1;C:1;D:1;I:1;Y:1;B:1;M:1;L:.5;E:.5;K:.25;V:.25;H:.25;S:.25;R:.25;U:.25;T:.25;Q:.25;P:.15;A:.15;N:.15;Z:.15;W:.15;G:.15;F:.15,J:1.75;C:1.5;D:1.5;I:1.5;Z:1.25;Y:1;B:1;M:1;U:.75;K:.75;H:.75;L:.5;Q:.5;T:.5;R:.5;E:.5;N:.5;G:.25;V:.25;W:.25,J:1.5;C:1.5;D:1.5;I:1.5;Z:1.5;Y:1;M:1;B:1;K:.75;U:.75;H:.5;L:.5;Q:.5;T:.25;V:.25;N:.25;R:.25,P:2.5;F:2.5;A:2;J:1.75;C:1.5;D:1.5;I:1.5;Y:1;B:.75;M:.75;K:.75;E:.75;Q:.5;L:.5;U:.5;H:.5;T:.5;V:.25;N:.25;G:.25,J:2;C:2;D:1.5;I:1.5;Y:1.25;B:1;M:1;K:.75;U:.75;L:.5;Q:.5;R:.5;E:.25;G:.25;H:.25;N:.25;T:.25;V:.25;S:.25,,J:1.25;C:1.25;D:1.25;I:1.25;W:1.25;S:1.25;Y:1;B:1;M:1;K:.75;U:.75;Q:.5;H:.5;L:.5;V:.25;N:.25;G:.25;A:.25;R:.25;T:.25;E:.25;,J:1.3;C:1.25;D:1.15;W:1.15;U:1.15;E:1;Y:1;B:1;M:1;K:.8;V:.8;T:.8;R:.5;Q:.5;H:.5;N:.5,F:1.5;C:1.3;D:1.3;J:1.3;I:1;W:1.1;S:.4;L:.4;E:.4;Q:.4;U:.4;A:.4;Y:1;H:1;B:1;M:1;K:1;P:1,J:1.75;C:1.75;D:1.5;I:1.25;Y:1;M:1;B:.75;H:.75;K:.75;T:.75;X:.4;Q:.4;L:.4;G:.4;A:.25;U:.25,,,F:1.5;A:1.5;J:1.5;C:1.5;D:1.5;I:1.3;Y:1;B:1;L:1;M:1;H:1;K:.75;N:.75;Q:.75;V:.25,,K:1;W:1;H:1;Y:1;B:1;V:1;Q:.75;L:.75;M:.5;P:.5;G:.5;X:.2;D:.2;I:.2;C:.2,J:2;W:2;S:2;K:.5;L:.5;Q:.5;A:.8;Y:.8;B:.8;D:.8;M:.8;U:.8;H:.8;T:.25;E:.25;N:.25;R:.25;V:.25;X:.25,J:1.5;D:1.5;C:1.5;R:1.5;I:1.5;W:1.25;A:1.25;Y:1;K:.75;H:.75;T:.5;U:.5;V:.5;S:.5;L:.5;Q:.25;M:.25;O:.25;X:.25;G:.25;B:.25;E:.25,J:1.75;D:1.5;Z:1.25;Y:1;B:1;S:1;H:.5;K:.5;R:.5;L:.5;G:.25;M:.25;U:.25;Q:.25;V:.25;T:.25,Y:1;S:1;U:.75;H:.5;Q:.25,C:1.5;D:1.5;J:1.5;Y:1;B:1;M:1;H:1;K:.75;V:.75;U:.75;Q:.75;S:.75;O:.75;W:.75;T:.25;L:.25;A:.25;E:.25,F:1.5;A:1.5;C:1.25;J:1.25;D:1.25;X:1.25;I:.7;Y:1;B:1;H:.7;K:.7;M:.7;L:.5;V:.5;S:.5;O:.5;G:.5;R:.5,F:1.3;A:1.3;C:1.25;I:1.25;J:1.25;Z:1.25;P:1.25;Y:1;M:1;T:1;U:.75;N:.5;Q:.5;L:.5;S:.25,F:1.5;A:1.5;J:1.25;C:1.25;D:1.25;Z:1.25;Y:1;B:1;H:1;K:.5;M:.5;L:.25;V:.25;S:.25,F:3;A:3;C:1.5;D:1.5;Z:1.5;Y:1;S:1;B:1;L:1;M:1;N:1;H:1;Q:1,{25},Y:1;S:1;L:1,C:1.5;Z:1.5;D:1.5;F:1.1;W:1.1;Y:1.1;P:1;S:1.1;E:1.1;K:1.1;H:1;L:1;V:1;Q:.5;M:.5;N:.5;B:.1,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UX,F:2;P:2;A:2;G:1.75;J:1.75;C:1.5;D:1.5;I:1.5;Z:1.25;Y:1;B:1;M:1;S:.75;H:.75;Q:.75;K:.75;L:.5;U:.5;T:.5;V:.25;E:.25;,,J:1.5;C:1.5;D:1.25;I:1.25;Y:1;B:1;M:1;K:.5;H:.5;L:.5;U:.5;T:.5;Q:.5;E:.25;N:.25;R:.25;V:.25;W:.25;,,J:1.5;C:1.5;D:1.5;I:1.5;E:1.5;A:1.25;P:1.25;Y:1;B:1;M:1;H:1;K:1;V:1;T:1;N:.5;S:.5;Q:.5;X:.5;O:.25;L:.25;G:.25;W:.25;,F:1.5;P:1.5;U:1.5;P:1;J:1.25;C:1.25;D:1.25;I:1.25;W:1.1;Y:1;B:1;M:1;E:1;H:1;K:.5;L:.5;N:.5;R:.5;S:.5;V:.5;T:.3;,,,,,,,[6],J:1.75;C:1.5;D:1.5;I:1.5;Z:1.25;Y:1;B:1;M:1;U:.75;K:.75;H:.75;L:.5;Q:.5;T:.5;R:.5;E:.5;N:.5;G:.25;V:.25;,J:1.5;C:1.5;D:1.5;I:1;Z:1;Y:1;B:1;M:1;U:1;K:1;H:1;L:.5;ÿ:.5;Q:.5;T:.5;N:.25;R:.25;V:.25;,Fÿ:1.75;P:1.6;A:1.6;J:1.5;Cÿ:1.5;D:1.25;I:1.25;Y:1;B:1;M:1;Lÿ:1;Q:.5;E:.25;K:.25;H:.25;U:.25;T:.25;N:.25;V:.25;G:.25;,J:1.5;C:1.5;D:1.5;I:1.5;Y:1;B:1;M:1;U:1;ÿK:.5;R:.5;H:.5;G:.5;ÿL:.25;Q:.25;N:.25;T:.25;V:.25;S:.25;E:.25;,J:1.5;C:1.5;D:1.5;I:1;Z:1;W:1;S:1;A:1;Y:1;B:1;M:.5;U:.5;K:.5;H:.5;L:.5;Q:.25;T:.25;E:.25;N:.25;,J:1.25;C:1.25;D:1.25;I:1.25;W:1.25;S:1.25;Y:1;B:1;M:1;U:1;K:1;H:1;L:1;Q:1;T:.5;E:.5;N:.5;V:.5;A:.5;R:.5;G:.5;,J:1.3;C:1.25;D:1.15;W:1.15;U:1.15;E:1;Y:1;B:1;M:1;K:.8;V:.8;T:.8;R:.25;Q:.25;H:.25;N:.25;,F:1.5;P:1.5;C:1.3;D:1.3;J:1.3;I:1;W:1.1;S:.4;Y:1;B:1;M:1;H:1;K:1;U:.4;L:.4;Q:.4;E:.4;A:.4;,J:1.5;C:1.5;D:1.5;I:1;Y:1;M:1;B:1;H:1;K:1;T:.7;A:.5;L:.5;Q:.4;U:.4;X:.4;,F:1.5;A:1.5;J:1.25;C:1.25;D:1;I:1;Y:1;B:1;M:.5;K:.5;N:.5;,J:1.5;C:1.25;D:1.25;I:1.25;W:1.25;Z:1.25;U:1.25;Y:1;M:1;H:.75;B:.5;K:.5;L:.5;Q:.25;,F:1.75;A:1.75;J:1.5;C:1.5;D:1.5;I:1;Y:1;B:1;M:1;L:1;H:1;K:.5;N:.5;Q:.5;Vÿ:.5;O:.5;X:.5;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
